"","OTU","Sample","Abundance","Gut_Subsection","Kingdom","Phylum","Class","Order","Family"
"304","Otu00245","ST",6.33333333333333e-05,"ST","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"141","Otu00062","GI_2",6e-05,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_vadinBB60_group"
"254","Otu00169","HG_1",6e-05,"HG_1","Eukaryota","Parabasalia","Gf10_symbiont_group","Gf10_symbiont_group_or","Gf10_symbiont_group_fa"
"437","Otu00600","GI_4",6e-05,"GI_4","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae"
"272","Otu00224","ST",5.66666666666667e-05,"ST","Eukaryota","Parabasalia","Trichomonadea","Trichomonadea_or","Trichomonadea_fa"
"374","Otu00396","ST",5.33333333333333e-05,"ST","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"226","Otu00148","GI_3",5.2e-05,"GI_3","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"245","Otu00156","GI_1",5e-05,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"317","Otu00277","HG_2",4.4e-05,"HG_2","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae"
"319","Otu00277","HG_1",4.4e-05,"HG_1","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae"
"185","Otu00113","GI_1",4e-05,"GI_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"449","Otu00807","ST",4e-05,"ST","Bacteria","Tenericutes","Mollicutes","Mollicutes_unclassified","Mollicutes_unclassified"
"225","Otu00148","GI_2",3.5e-05,"GI_2","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallales_unclassified"
"183","Otu00111","GI_2",3.5e-05,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae"
"301","Otu00245","GI_1",3.5e-05,"GI_1","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"431","Otu00593","ST",3.33333333333333e-05,"ST","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Puniceicoccaceae"
"392","Otu00461","GI_2",3e-05,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"284","Otu00236","GI_4",2.8e-05,"GI_4","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae"
"370","Otu00396","HG_3",2.8e-05,"HG_3","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"375","Otu00396","HG_2",2.8e-05,"HG_2","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"166","Otu00087","GI_2",2.5e-05,"GI_2","Bacteria","Lentisphaerae","Lentisphaeria","Victivallales","Victivallaceae"
"146","Otu00074","GI_3",2.4e-05,"GI_3","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae"
"255","Otu00169","HG_2",2.4e-05,"HG_2","Eukaryota","Parabasalia","Gf10_symbiont_group","Gf10_symbiont_group_or","Gf10_symbiont_group_fa"
"286","Otu00236","HG_1",2.4e-05,"HG_1","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae"
"318","Otu00277","HG_3",2.4e-05,"HG_3","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae"
"472","Otu00851","HG_2",2.4e-05,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae"
"342","Otu00339","GI_3",2e-05,"GI_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"287","Otu00236","HG_2",2e-05,"HG_2","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae"
"373","Otu00396","GI_3",2e-05,"GI_3","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"414","Otu00497","ST",1.66666666666667e-05,"ST","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified"
"436","Otu00600","ST",1.66666666666667e-05,"ST","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae"
"236","Otu00151","GI_3",1.6e-05,"GI_3","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"306","Otu00266","HG_2",1.6e-05,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","uncultured"
"371","Otu00396","GI_4",1.6e-05,"GI_4","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"38","Otu00012","GI_2",1.5e-05,"GI_2","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae"
"198","Otu00120","GI_2",1.5e-05,"GI_2","Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae"
"244","Otu00156","GI_2",1.5e-05,"GI_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured"
"465","Otu00851","GI_1",1.5e-05,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae"
"411","Otu00497","HG_2",1.2e-05,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified"
"412","Otu00497","HG_3",1.2e-05,"HG_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified"
"413","Otu00497","HG_1",1.2e-05,"HG_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified"
"450","Otu00807","GI_3",1.2e-05,"GI_3","Bacteria","Tenericutes","Mollicutes","Mollicutes_unclassified","Mollicutes_unclassified"
"516","Otu01463","HG_1",1.2e-05,"HG_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae"
"406","Otu00485","HG_1",8e-06,"HG_1","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae"
"467","Otu00851","GI_3",8e-06,"GI_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae"
"470","Otu00851","HG_1",8e-06,"HG_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae"
"379","Otu00417","ST",6.66666666666667e-06,"ST","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"152","Otu00074","GI_2",5e-06,"GI_2","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae"
"326","Otu00278","GI_2",5e-06,"GI_2","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"376","Otu00396","HG_1",4e-06,"HG_1","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae"
"407","Otu00485","HG_2",4e-06,"HG_2","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae"
"490","Otu01081","GI_3",4e-06,"GI_3","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae"
"386","Otu00461","ST",3.33333333333333e-06,"ST","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"25","Otu00007","GI_4",0,"GI_4","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"26","Otu00007","GI_3",0,"GI_3","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"27","Otu00007","HG_2",0,"HG_2","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"28","Otu00007","HG_3",0,"HG_3","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"149","Otu00074","ST",0,"ST","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae"
"156","Otu00075","HG_3",0,"HG_3","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae"
"157","Otu00075","GI_3",0,"GI_3","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae"
"158","Otu00075","GI_4",0,"GI_4","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae"
"159","Otu00075","HG_1",0,"HG_1","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae"
"160","Otu00075","HG_2",0,"HG_2","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae"
"188","Otu00113","GI_2",0,"GI_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified"
"193","Otu00120","GI_3",0,"GI_3","Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae"
"200","Otu00120","ST",0,"ST","Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae"
"203","Otu00132","GI_2",0,"GI_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae"
"204","Otu00132","GI_3",0,"GI_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae"
"208","Otu00132","GI_1",0,"GI_1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Paludibacteraceae"
"235","Otu00151","GI_2",0,"GI_2","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiae_unclassified","Verrucomicrobiae_unclassified"
"250","Otu00169","HG_3",0,"HG_3","Eukaryota","Parabasalia","Gf10_symbiont_group","Gf10_symbiont_group_or","Gf10_symbiont_group_fa"
"257","Otu00199","GI_3",0,"GI_3","Bacteria","Tenericutes","Mollicutes","T2WK15B57","T2WK15B57_fa"
"259","Otu00199","GI_2",0,"GI_2","Bacteria","Tenericutes","Mollicutes","T2WK15B57","T2WK15B57_fa"
"260","Otu00199","GI_1",0,"GI_1","Bacteria","Tenericutes","Mollicutes","T2WK15B57","T2WK15B57_fa"
"261","Otu00199","ST",0,"ST","Bacteria","Tenericutes","Mollicutes","T2WK15B57","T2WK15B57_fa"
"270","Otu00224","GI_1",0,"GI_1","Eukaryota","Parabasalia","Trichomonadea","Trichomonadea_or","Trichomonadea_fa"
"282","Otu00236","GI_3",0,"GI_3","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae"
"285","Otu00236","HG_3",0,"HG_3","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae"
"298","Otu00245","GI_3",0,"GI_3","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"303","Otu00245","GI_2",0,"GI_2","Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales","Gastranaerophilales_fa"
"305","Otu00266","GI_4",0,"GI_4","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","uncultured"
"307","Otu00266","GI_3",0,"GI_3","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","uncultured"
"309","Otu00266","HG_3",0,"HG_3","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","uncultured"
"310","Otu00266","GI_2",0,"GI_2","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","uncultured"
"311","Otu00266","HG_1",0,"HG_1","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","uncultured"
"312","Otu00266","GI_1",0,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","uncultured"
"329","Otu00282","GI_2",0,"GI_2","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae"
"330","Otu00282","GI_3",0,"GI_3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae"
"333","Otu00282","ST",0,"ST","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae"
"334","Otu00282","GI_4",0,"GI_4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae"
"341","Otu00339","GI_2",0,"GI_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillales_unclassified"
"351","Otu00352","GI_2",0,"GI_2","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39","Mollicutes_RF39_fa"
"361","Otu00395","GI_3",0,"GI_3","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae"
"362","Otu00395","GI_2",0,"GI_2","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae"
"367","Otu00395","GI_1",0,"GI_1","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae"
"385","Otu00461","GI_1",0,"GI_1","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII"
"401","Otu00485","HG_3",0,"HG_3","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae"
"402","Otu00485","GI_2",0,"GI_2","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae"
"403","Otu00485","GI_3",0,"GI_3","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae"
"404","Otu00485","GI_1",0,"GI_1","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae"
"405","Otu00485","GI_4",0,"GI_4","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae"
"417","Otu00512","GI_1",0,"GI_1","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified"
"419","Otu00512","GI_2",0,"GI_2","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified"
"420","Otu00512","GI_3",0,"GI_3","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified"
"421","Otu00512","GI_4",0,"GI_4","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified"
"422","Otu00512","HG_3",0,"HG_3","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified"
"423","Otu00512","HG_1",0,"HG_1","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified"
"424","Otu00512","HG_2",0,"HG_2","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified"
"434","Otu00600","GI_2",0,"GI_2","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae"
"435","Otu00600","GI_3",0,"GI_3","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae"
"441","Otu00634","GI_4",0,"GI_4","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae"
"442","Otu00634","HG_2",0,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae"
"443","Otu00634","HG_3",0,"HG_3","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae"
"444","Otu00634","GI_3",0,"GI_3","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae"
"445","Otu00634","GI_1",0,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae"
"447","Otu00634","GI_2",0,"GI_2","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae"
"448","Otu00634","HG_1",0,"HG_1","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae"
"451","Otu00807","GI_1",0,"GI_1","Bacteria","Tenericutes","Mollicutes","Mollicutes_unclassified","Mollicutes_unclassified"
"453","Otu00807","GI_2",0,"GI_2","Bacteria","Tenericutes","Mollicutes","Mollicutes_unclassified","Mollicutes_unclassified"
"457","Otu00817","GI_3",0,"GI_3","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"461","Otu00817","ST",0,"ST","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"463","Otu00817","GI_2",0,"GI_2","Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"466","Otu00851","GI_2",0,"GI_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae"
"468","Otu00851","GI_4",0,"GI_4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae"
"469","Otu00851","HG_3",0,"HG_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae"
"473","Otu00916","GI_4",0,"GI_4","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae"
"474","Otu00916","HG_3",0,"HG_3","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae"
"475","Otu00916","GI_2",0,"GI_2","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae"
"476","Otu00916","GI_1",0,"GI_1","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae"
"478","Otu00916","HG_2",0,"HG_2","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae"
"479","Otu00916","GI_3",0,"GI_3","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae"
"480","Otu00916","HG_1",0,"HG_1","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae"
"481","Otu01063","HG_3",0,"HG_3","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae"
"482","Otu01063","GI_3",0,"GI_3","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae"
"484","Otu01063","GI_4",0,"GI_4","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae"
"485","Otu01063","HG_1",0,"HG_1","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae"
"486","Otu01063","GI_1",0,"GI_1","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae"
"487","Otu01063","HG_2",0,"HG_2","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae"
"488","Otu01063","GI_2",0,"GI_2","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae"
"491","Otu01081","GI_1",0,"GI_1","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae"
"492","Otu01081","ST",0,"ST","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae"
"494","Otu01081","GI_2",0,"GI_2","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae"
"497","Otu01185","GI_3",0,"GI_3","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured"
"498","Otu01185","GI_4",0,"GI_4","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured"
"499","Otu01185","GI_2",0,"GI_2","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured"
"500","Otu01185","HG_1",0,"HG_1","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured"
"501","Otu01185","GI_1",0,"GI_1","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured"
"502","Otu01185","HG_2",0,"HG_2","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured"
"503","Otu01185","HG_3",0,"HG_3","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured"
"505","Otu01270","HG_3",0,"HG_3","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae"
"506","Otu01270","HG_1",0,"HG_1","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae"
"507","Otu01270","GI_1",0,"GI_1","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae"
"509","Otu01270","GI_4",0,"GI_4","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae"
"510","Otu01270","GI_2",0,"GI_2","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae"
"511","Otu01270","GI_3",0,"GI_3","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae"
"512","Otu01270","HG_2",0,"HG_2","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae"
"513","Otu01463","GI_3",0,"GI_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae"
"514","Otu01463","GI_4",0,"GI_4","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae"
"515","Otu01463","HG_3",0,"HG_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae"
"518","Otu01463","HG_2",0,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae"
"519","Otu01463","GI_2",0,"GI_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae"
"520","Otu01463","GI_1",0,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae"
"521","Otu01497","GI_4",0,"GI_4","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"522","Otu01497","GI_1",0,"GI_1","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"524","Otu01497","HG_3",0,"HG_3","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"525","Otu01497","GI_2",0,"GI_2","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"526","Otu01497","GI_3",0,"GI_3","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"527","Otu01497","HG_2",0,"HG_2","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"528","Otu01497","HG_1",0,"HG_1","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"529","Otu01522","GI_3",0,"GI_3","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae"
"530","Otu01522","GI_4",0,"GI_4","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae"
"531","Otu01522","HG_1",0,"HG_1","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae"
"532","Otu01522","GI_1",0,"GI_1","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae"
"533","Otu01522","HG_2",0,"HG_2","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae"
"534","Otu01522","HG_3",0,"HG_3","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae"
"535","Otu01522","GI_2",0,"GI_2","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae"
"537","Otu01682","GI_3",0,"GI_3","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","Bradymonadales_fa"
"538","Otu01682","ST",0,"ST","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","Bradymonadales_fa"
"540","Otu01682","GI_2",0,"GI_2","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","Bradymonadales_fa"
"543","Otu01682","GI_4",0,"GI_4","Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales","Bradymonadales_fa"
"545","Otu01684","GI_4",0,"GI_4","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Flammeovirgaceae"
"546","Otu01684","GI_2",0,"GI_2","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Flammeovirgaceae"
"547","Otu01684","GI_3",0,"GI_3","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Flammeovirgaceae"
"548","Otu01684","HG_2",0,"HG_2","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Flammeovirgaceae"
"549","Otu01684","HG_3",0,"HG_3","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Flammeovirgaceae"
"550","Otu01684","HG_1",0,"HG_1","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Flammeovirgaceae"
"551","Otu01684","GI_1",0,"GI_1","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Flammeovirgaceae"
"1100","Other","GI_1",0.031065,"GI_1","Other","Other","Other","Other","Other"
"2100","Other","GI_2",0.00917999999999997,"GI_2","Other","Other","Other","Other","Other"
"3100","Other","GI_3",0.023604,"GI_3","Other","Other","Other","Other","Other"
"4100","Other","GI_4",0.030392,"GI_4","Other","Other","Other","Other","Other"
"553","Other","HG_1",0.039124,"HG_1","Other","Other","Other","Other","Other"
"610","Other","HG_2",0.040628,"HG_2","Other","Other","Other","Other","Other"
"710","Other","HG_3",0.0443279999999999,"HG_3","Other","Other","Other","Other","Other"
"810","Other","ST",0.1848,"ST","Other","Other","Other","Other","Other"
